log_id,api_name,reference_id,reference_type,company_code,request_timestamp,request_body,response_timestamp,response_body,error_message,status_code
361153,FaceMatching,7314,id,LI,2025-01-21 14:03:14.869,"{""mode"": ""doc_face"", ""reference_id_1"": ""D3E7AA4BE08540ED867DF738FE184F5A"", ""reference_id_2"": ""7F47340B58F946ACB2C28B244BB7A108""}",2025-01-21 14:03:14.869,{},Face not found in image,400
361154,FaceMatching,4406,id,LI,2025-01-21 14:03:15.506,"{""mode"": ""doc_face"", ""reference_id_1"": ""6BC35F91F4524B38BA9F4EFA1811CA3D"", ""reference_id_2"": ""3A88A737126245A396A3422534C2A880""}",2025-01-21 14:03:15.506,{},Face not found in image,400
361155,FaceMatching,2435,id,LI,2025-01-21 14:03:17.399,"{""mode"": ""doc_face"", ""reference_id_1"": ""D3E7AA4BE08540ED867DF738FE184F5A"", ""reference_id_2"": ""7F47340B58F946ACB2C28B244BB7A108""}",2025-01-21 14:03:17.399,{},Face not found in image,400
361156,FaceMatching,1119,id,LI,2025-01-21 14:03:17.960,"{""mode"": ""doc_face"", ""reference_id_1"": ""6BC35F91F4524B38BA9F4EFA1811CA3D"", ""reference_id_2"": ""3A88A737126245A396A3422534C2A880""}",2025-01-21 14:03:17.960,{},Face not found in image,400
361157,FaceMatching,532,id,LI,2025-01-21 14:03:25.962,"{""mode"": ""doc_face"", ""reference_id_1"": ""13933CC67A9F407C95F6B773B4492EAB"", ""reference_id_2"": ""A358302FD54D482C881925323BAC6445""}",2025-01-21 14:03:25.962,"{""result"": {""score"": 45.63975749418985, ""face_matched"": true, ""face_detected"": true, ""insufficient_photo_resolution"": false, ""insufficient_document_resolution"": false}, ""message"": ""Success""}",,200
361182,FaceMatching,7858,id,LI,2025-01-21 14:05:01.929,"{""mode"": ""doc_face"", ""reference_id_1"": ""0D224C51C09E43A385431AE0CC93E953"", ""reference_id_2"": ""C738331B4F6A410396E055F71BD5A09C""}",2025-01-21 14:05:01.930,{},Face not found in image,400
361193,FaceMatching,2727,id,LI,2025-01-21 14:06:59.594,"{""mode"": ""doc_face"", ""reference_id_1"": ""D3E7AA4BE08540ED867DF738FE184F5A"", ""reference_id_2"": ""7F47340B58F946ACB2C28B244BB7A108""}",2025-01-21 14:06:59.594,{},Face not found in image,400
361194,FaceMatching,1858,id,LI,2025-01-21 14:07:00.182,"{""mode"": ""doc_face"", ""reference_id_1"": ""6BC35F91F4524B38BA9F4EFA1811CA3D"", ""reference_id_2"": ""3A88A737126245A396A3422534C2A880""}",2025-01-21 14:07:00.182,{},Face not found in image,400
361195,FaceMatching,8425,id,LI,2025-01-21 14:07:01.738,"{""mode"": ""doc_face"", ""reference_id_1"": ""D3E7AA4BE08540ED867DF738FE184F5A"", ""reference_id_2"": ""7F47340B58F946ACB2C28B244BB7A108""}",2025-01-21 14:07:01.738,{},Face not found in image,400
361196,FaceMatching,5178,id,LI,2025-01-21 14:07:02.326,"{""mode"": ""doc_face"", ""reference_id_1"": ""6BC35F91F4524B38BA9F4EFA1811CA3D"", ""reference_id_2"": ""3A88A737126245A396A3422534C2A880""}",2025-01-21 14:07:02.326,{},Face not found in image,400
361228,FaceMatching,4676,id,LI,2025-01-21 14:11:41.184,"{""mode"": ""doc_face"", ""reference_id_1"": ""154E3D6CD83942799DAB36C7F402CBE2"", ""reference_id_2"": ""EDACC9A265004F25A662FE81C8A3B528""}",2025-01-21 14:11:41.184,"{""result"": {""score"": 63.1518937291218, ""face_matched"": true, ""face_detected"": true, ""insufficient_photo_resolution"": false, ""insufficient_document_resolution"": false}, ""message"": ""Success""}",,200
